Name,Overall,Value
 D. Thøgersen,52,€90K
 Y. Çetin,60,€300K
 I. Boggino,65,€375K
 H. Offia,53,€90K
 S. Machino,54,€100K
 N. Kawaguchi,56,€100K
 G. Akkan,58,€240K
 J. Cruz,59,€220K
 A. Ligi,67,€650K
 A. Zeqiri,53,€140K
 A. Öhman,52,€70K
 J. Borgmann,55,€100K
 M. Raynes,62,€240K
 J. Stenmark,50,€50K
 K. Velde,54,€100K
 C. Sıkılmaz,54,€130K
 A. Majok,54,€120K
 M. Baldisimo,47,€60K
 N. Marthinussen,52,€80K
 A. Livingstone,52,€110K
 M. Riemann,69,€750K
 J. Ferreira,54,€150K
 M. Johansson,62,€350K
 David Alba,62,€425K
 W. Ali,55,€140K
 Lee Tae Ho,62,€300K
 T. Maeno,51,€30K
 K. Navas,85,€24.5M
 K. Nissen,55,€130K
 C. Masterson,60,€375K
 M. Toni,58,€160K
 J. Chancellor,64,€500K
 C. Strohdiek,67,€600K
 L. Hoffmann,59,€220K
 G. Bojanich,65,€300K
 M. Akoto,58,€250K
 I. Ocampo,53,€120K
 W. Hahn,73,€3.8M
 C. McLennan,52,€100K
 R. Norrington-Davies,52,€90K
 João Morelli,53,€130K
 Douglas,57,€140K
 M. Nade,59,€220K
 Kim Woo Suk,60,€325K
 K. Kouassivi-Benissan,51,€70K
 L. Wade-Slater,51,€50K
 E. Tweed,47,€45K
 L. Grant,74,€2.3M
 J. Aitchison,54,€140K
 J. Roberts,55,€160K
 S. Nakagawa,53,€110K
 Yoo Ji Ha,59,€300K
 T. Hamer,53,€100K
 N. Leighton,54,€140K
 D. Harvie,54,€90K
 T. Courtois,89,€59M
 F. Dietz,57,€220K
 P. O'Connor,58,€170K
 R. Meshino,51,€70K
 Y. Contreras,52,€100K
 Ángel,52,€80K
 J. McNerney,63,€350K
 A. Davies,58,€200K
 M. Fisch,57,€120K
 G. Zajkov,63,€450K
 J. Püschel,52,€70K
 A. Heredia,60,€275K
 M. Tokich,52,€100K
 A. Stasiak,55,€130K
 P. Phillips,47,€60K
 C. Magerusan,54,€100K
 J. Gallagher,54,€110K
 Y. Amankwah,64,€375K
 J. Oblak,89,€62M
 I. Pearce,55,€130K
 B. Babic,53,€90K
 K. Viveros,53,€130K
 M. Facklam,58,€190K
 M. Bani,68,€1M
 B. Yılmaz,55,€150K
 Y. Sommer,82,€18M
 G. Wüthrich,62,€450K
 K. Cantwell,56,€110K
 D. Subašić,84,€18M
 J. Umerah,53,€130K
 R. Bushiri,61,€450K
 S. Seddon,50,€60K
 M. Zeroual,56,€150K
 J. Pupe,58,€180K
 R. Porteous,57,€190K
 T. Salquist,60,€300K
 S. Gönitzer,52,€70K
 T. Abrahams,53,€120K
 R. Woodcock,50,€50K
 S. Whaler,50,€60K
 C. Lucchetti,70,€120K
 M. Dembélé,54,€130K
 A. Lund,55,€150K
 L. Matarrese,57,€140K
 M. Fischer,52,€80K
 M. Bürki,59,€200K
 T. Ominami,56,€180K
 C. Maher,48,€50K
 M. Fraga,72,€2.1M
 C. Simpson,53,€130K
 D. Sharkey,50,€45K
 Casillas,82,€3M
 D. Miya,56,€110K
 P. Krachunov,61,€200K
 Pepe Reina,83,€10.5M
 E. Tallig,52,€100K
 F. Uzelac,62,€375K
 Neto,81,€14M
 C. Schoissengeyr,64,€500K
 M. Nelson,61,€15K
 O. Kıvrak,77,€6M
 B. Ruiz,55,€150K
 Park Jun Hyeong,61,€275K
 G. Rulli,82,€21M
 E. Wikström,50,€60K
 Ci Tian,53,€100K
 A. Civet,57,€160K
 Alisson,84,€31M
 F. Prohart,51,€80K
 D. Minz,57,€140K
 L. Santelices,64,€275K
 D. Liszka,51,€60K
 H. Al Jasim,53,€80K
 J. Cillessen,81,€15M
 Jordi Masip,73,€3.3M
 M. Vorm,78,€5M
 K. Pagliuca,57,€230K
 K. Ekman,52,€110K
 M. ter Stegen,87,€44.5M
 Pau López,81,€17M
 J. Quiñones,57,€140K
 N. Smith,60,€220K
 Isaac Becerra,74,€4.4M
 X. Tomas,60,€140K
 H. Hollis,62,€325K
 S. Al Nashmi,51,€50K
 A. Hosawi,55,€60K
 T. Petrović,53,€120K
 Y. Cardinale,77,€8.5M
 M. Frese,53,€90K
 L. Kerrigan,51,€70K
 L. Freestone,53,€100K
 S. Vollesen,51,€70K
 Juan Carlos,69,€825K
 A. McGovern,51,€70K
 H. Andersson,56,€170K
 W. Nowak,53,€120K
 L. Grossi,58,€200K
 K. Yoshino,61,€300K
 J. Cotterill,57,€190K
 V. Konstantinidis,55,€70K
 G. Newell,52,€80K
 M. Juel Andersen,58,€250K
 M. Foy,49,€60K
 Kiko Casilla,80,€9.5M
 L. Jackson,60,€275K
 N. Ortiz,57,€120K
 M. Ruschmeier,51,€50K
 A. Federici,72,€1.8M
 S. Cartwright,52,€90K
 J. Albert,58,€140K
 M. Jay,52,€70K
 F. Kaya,53,€120K
 R. Koczor,63,€300K
 Adán,82,€14M
 S. Lorenz,58,€180K
 J. Gray,52,€80K
 J. Zoet,80,€13M
 T. van de Berg,58,€200K
 Javi Varas,76,€3.1M
 M. Beye,56,€110K
 A. Tataev,57,€190K
 J. Hollywood,51,€60K
 C. McCarthy,59,€200K
 J. Knowles,54,€100K
 S. Palma,56,€160K
 A. Suljic,55,€120K
 O. Dytyatev,60,€170K
 C. MacDonald,52,€100K
 R. Webb-Foster,53,€130K
 E. Phipps,53,€90K
 R. Nzeza,57,€190K
 K. Katz,53,€110K
 Felipe Ferreyra,53,€130K
 A. Egholm,61,€80K
 J. Morris,51,€80K
 M. Haile-Selassie,53,€120K
 J. Pask,56,€120K
 R. Bennett,55,€100K
 A. Didic,59,€210K
 N. Datković,68,€1M
 F. Wiedl,50,€50K
 T. Mannek,53,€90K
 P. Schmieder,52,€90K
 D. Drescher,63,€350K
 D. Jefferies,54,€130K
 M. Willock,57,€140K
 S. Proto,77,€3.6M
 Miguel Ángel,61,€350K
 A. Benedyczak,52,€100K
 C. Zamora,60,€300K
 L. Walker,54,€120K
 A. Hofer,49,€45K
 S. Shotton,55,€140K
 O. Ustari,73,€2.6M
 H. Lopes,64,€450K
 D. Butterworth,50,€40K
 O. Zapata,55,€130K
 T. Heaton,81,€11M
 D. Conroy,56,€140K
 A. Marchesín,78,€8M
 G. Sakai,50,€45K
 S. Al Masrahi,63,€275K
 N. Samayoa,58,€170K
 A. Areola,80,€14M
 A. Cvetkovic,55,€110K
 A. Chrzanowski,58,€180K
 S. Strózik,54,€140K
 Y. Uchimura,48,€25K
 I. Skrobotov,58,€230K
 A. Berisha,50,€60K
 S. Twine,52,€100K
 J. Gamonal,68,€750K
 L. Burián,72,€1.6M
 F. Delaveris,51,€70K
 D. Jarl,63,€400K
 M. Breunig,49,€60K
 S. Mignolet,80,€10M
 J. Esquivel,54,€130K
 C. Mbulu,58,€190K
 Y. Akbulut,51,€40K
 O. Dale,51,€80K
 M. Howard,53,€120K
 G. Donnarumma,82,€27M
 J. Vidović,64,€400K
 K. Garcia,61,€250K
 B. Warland,56,€120K
 Julen Etxabeguren,60,€220K
 F. Sinclair-Smith,50,€60K
 A. Papadopoulos,52,€90K
 J. Larsen,52,€100K
 R. Yamada,51,€70K
 J. Alnwick,68,€975K
 T. Baack,56,€170K
 C. Ehlich,48,€50K
 J. Eriksen,50,€50K
 T. Meziani,53,€100K
 A. Kovačević,60,€240K
 V. Golemić,61,€275K
 A. Sorge,62,€350K
 W. Szczęsny,84,€25M
 B. Reynolds,51,€80K
 L. Reilly,51,€70K
 B. Nygren,51,€80K
 D. Mooney,49,€45K
 A. Bark,51,€70K
 R. Minor,60,€160K
 E. Sandberg,56,€160K
 R. Edmonds-Green,54,€130K
 G. Ray,60,€275K
 M. Nugent,49,€50K
 A. Hayashi,68,€575K
 E. Alfonso,68,€600K
 T. Horn,84,€31M
 O. Klitten,51,€70K
 Calzado,60,€100K
 D. Evangelista,51,€50K
 D. Mirfin,64,€250K
 O. Dzonlagic,49,€45K
 S. Nishikawa,71,€1.4M
 B. Gartland,64,€325K
 O. Rybka,72,€2M
 M. Tokida,56,€100K
 A. Ben Lamin,53,€110K
 Serantes,76,€6M
 H. Oeftger,48,€60K
 I. González,56,€140K
 F. O'Mara,55,€100K
 J. Egan,50,€50K
 M. Huber,58,€120K
 Jeong Tae Wook,62,€525K
 L. Pierre,53,€130K
 L. Załuska,67,€180K
 V. Demirel,75,€1.6M
 J. Mitchell,64,€550K
 V. Mannone,71,€1.6M
 G. Morrison,53,€100K
 S. Handanovič,88,€34M
 S. Ortega,72,€3M
 Ryu Eon Jae,50,€40K
 L. Fesser,58,€150K
 I. Hajtic,60,€400K
 E. McCormack,51,€50K
 R. Senhadji,56,€140K
 I. Diop,56,€160K
 M. Edwards,58,€9K
 F. Langsdorf,53,€80K
 S. Ruffier,84,€20M
 N. Lyngø,54,€100K
 J. Ortíz,56,€170K
 M. Roberts,48,€60K
 S. Romero,80,€9.5M
 M. Rossmann,62,€375K
 H. Smolders,57,€150K
 M. Augustin,55,€150K
 J. Martin,53,€110K
 G. Sarris,58,€110K
 R. Bürki,81,€15.5M
 S. Kopp,61,€325K
 T. Staubli,52,€100K
 D. Collins,49,€50K
 J. Tucker,53,€110K
 M. Frithzell,52,€70K
 M. Kristensen,54,€90K
 M. Moric,50,€60K
 L. Acosta,71,€2.9M
 M. Perin,84,€30M
 J. Hansen,73,€2.3M
 N. Rimando,71,€160K
 B. Leno,85,€34M
 M. Platt,54,€80K
 R. Kawai,53,€4K
 J. Barrigan,53,€130K
 A. Borg,51,€70K
 A. Zahui Bazoukou,54,€100K
 J. Ellis,50,€50K
 L. Clark,53,€110K
 J. Smylie,53,€90K
 O. Escalante,61,€250K
 D. Marino,58,€100K
 A. Disasi,61,€375K
 F. Marchetti,77,€3.6M
 G. Corbo,52,€100K
 N. Pejović,56,€170K
 J. Uras,52,€100K
 C. Farren,52,€80K
 O. Pérez,71,€160K
 D. Soidik,49,€50K
 C. Enemark,51,€70K
 A. Dobbs,51,€80K
 R. Deakin,53,€90K
 A. Alesevic,55,€90K
 Adrián,78,€6.5M
 K. Høgh,51,€70K
 H. Darling,53,€110K
 O. Björtuft,53,€110K
 S. Baddy Dega,53,€110K
 M. Al Sharimi,51,€45K
 Kim Tae Han,59,€190K
 C. Nugent,48,€45K
 C. Chantzopoulos,59,€180K
 S. Daly-Bütz,49,€45K
 M. Putnocký,71,€1.4M
 A. Delap,48,€45K
 P. Bahanack,53,€80K
 O. Hassett,46,€45K
 L. Pintor,54,€150K
 H. Pernía,56,€90K
 D. Dennehy,55,€60K
 J. Bachmann,57,€120K
 J. Pestaña,56,€180K
 S. Antonijevic,62,€250K
 K. Casteels,80,€13M
 C. Muñoz,68,€60K
 A. Penny,58,€200K
 D. Latorre,52,€100K
 M. Payares,57,€150K
 E. Bodholdt-Larsen,53,€110K
 D. Kovačić,57,€120K
 L. Jordan,49,€60K
 A. Al-Habsi,73,€950K
 D. Gibbons,51,€50K
 M. Bunn,71,€1.4M
 V. Reitstetter,52,€80K
 Kwon Ki Pyo,51,€60K
 K. Westwood,75,€3.8M
 J. Deschamps,65,€275K
 T. Knowles,50,€50K
 K. Tshiembe,52,€100K
 K. Poprawa,54,€100K
 A. Krivoruchko,67,€450K
 R. Kruppa,55,€120K
 Munir,70,€1.4M
 J. Villalpando,64,€250K
 André Luis Neitzke,57,€80K
 C. Kameni,79,€6.5M
 G. Güvenç,67,€725K
 A. Babos,52,€110K
 S. Lavelle,55,€110K
 Oier,73,€3.1M
 Sergio Rico,81,€17M
 K. da Graca,55,€130K
 W. Caballero,79,€3M
 P. Kapp,55,€120K
 F. Núñez,69,€70K
 D. Dumont,52,€80K
 M. Svilar,65,€875K
 S. Scuffet,72,€3.8M
 M. Schuhen,69,€1.1M
 Mateus Tangil,67,€525K
 J. Lewis,73,€2.7M
 T. Krul,75,€4.5M
 V. Babacan,79,€10M
 J. O'Keeffe,50,€60K
 R. Sykes,53,€80K
 L. Butroid,53,€110K
 P. Petlach,56,€170K
 A. Battle,49,€60K
 A. Pucheta,58,€150K
 C. Sang,50,€35K
 S. Pedersen,52,€90K
 L. Steele,69,€600K
 Iván Cuéllar,75,€3.4M
 A. Begović,80,€9.5M
 K. Rowles,52,€100K
 Fabio,53,€80K
 S. Mai,65,€625K
 S. Foss,50,€40K
 A. McCarthy,76,€6M
 B. Moritz,51,€70K
 Pacheco,78,€9.5M
 F. Tägtström,55,€120K
 D. Sánchez,67,€500K
 P. Pentke,70,€1M
 Kepa,82,€21.5M
 J. White,51,€60K
 J. Gibson,48,€60K
 J. McLaughlin,70,€1.4M
 L. Gordon,53,€80K
 A. Stamatelopoulos,50,€60K
 Cláudio Ramos,76,€7M
 L. Karius,80,€14M
 M. Günok,71,€1.9M
 G. Cuevas,50,€50K
 A. McGregor,73,€950K
 C. Tovar,55,€150K
 A. Famewo,54,€90K
 K. Al Qahtani,56,€110K
 T. Holmes,53,€110K
 S. Hausner,52,€90K
 E. Andreassen,48,€50K
 A. Kwarasey,69,€825K
 Diego Mariño,75,€5.5M
 R. Wiedesheim-Paul,51,€80K
 M. Dúbravka,75,€5.5M
 C. Day,53,€110K
 David Soria,75,€6.5M
 Dani Sotres,65,€550K
 O. Baumann,83,€20M
 Sivera,69,€1.1M
 A. Selikhov,78,€10M
 O. O'Dwyer,56,€150K
 M. Touray,48,€70K
 S. Andersen,66,€150K
 C. Donovan,58,€220K
 C. Trejos,58,€170K
 M. Maignan,75,€7.5M
 K. Yao,53,€110K
 R. Riou,71,€1.6M
 P. Kekeris,53,€120K
 A. Lunev,79,€10.5M
 N. Navarro,72,€1.8M
 J. Drommel,67,€1.1M
 J. Ochoa,58,€170K
 J. Celestine,57,€150K
 Eduardo,74,€2.3M
 F. Boeckx,73,€2.6M
 M. Leahy,59,€140K
 S. Boyd,52,€110K
 A. Cover,53,€110K
 S. N'Guessan,51,€70K
 C. Tătăruşanu,79,€7.5M
 T. Allemand,57,€190K
 Herrerín,79,€8.5M
 S. Mandanda,82,€12.5M
 D. Matsuzaka,54,€90K
 B. Maguire,52,€80K
 A. Smithies,73,€3.2M
 F. Franke,62,€250K
 J. Carrizo,75,€3.4M
 N. Willumsen,50,€60K
 B. Morgan,51,€70K
 A. Bærthelsen,50,€60K
 Y. Mvogo,75,€6.5M
 D. Gerken,68,€525K
 A. Abdallah,52,€70K
 C. Coosemans,72,€2.8M
 Rubén Miño,69,€850K
 T. Hasegawa,52,€90K
 M. Backmann,52,€70K
 J. Grodowski,50,€60K
 N. Canavan,63,€375K
 Rafael,74,€4.7M
 S. Heaney,54,€90K
 D. Jørgensen,57,€110K
 Dorronsoro,67,€450K
 L. García,63,€425K
 G. Kinneen,49,€60K
 J. Barstad,53,€110K
 B. Sowe,55,€100K
 L. Fabiański,80,€8.5M
 I. Akinfeev,80,€9M
 S. Padt,77,€7M
 J. Giraldo,52,€70K
 D. Bouzanis,63,€250K
 M. Bizot,75,€6M
 M. Djabi,48,€60K
 T. Melia,74,€3.4M
 M. Jørgensen,50,€70K
 J. Prior,72,€3.2M
 A. Lindegaard,68,€450K
 Dani Jiménez,67,€625K
 S. Want,53,€120K
 D. Castillo,65,€475K
 René,71,€1.2M
 N. Pope,78,€9M
 Z. Al Haniti,55,€130K
 Moreira,72,€725K
 Álex Craninx,64,€500K
 D. Geiger,56,€35K
 M. Gudmann,50,€50K
 C. Irwin,67,€525K
 V. Gabulov,74,€2.8M
 Juan Carlos,70,€1.4M
 Beto,76,€1.8M
 F. Ondoa,66,€675K
 R. Boot,58,€120K
 S. Frei,71,€1.4M
 W. Foderingham,73,€3.6M
 Bruno Varela,76,€7.5M
 N. Watson,48,€50K
 C. Gordon,74,€2.3M
 W. Dawes,50,€60K
 J. Young,46,€60K
 M. Storari,76,€525K
 Kwoun Sun Tae,71,€1.4M
 G. Coutinho,68,€375K
 J. Hopf,75,€4.3M
 K. Johnsson,75,€4.5M
 Douglas,76,€3.1M
 A. Pyatov,79,€6.5M
 A. Bizzarri,76,€525K
 I. Aliu,52,€100K
 Aitor,69,€925K
 K. Farragher,55,€90K
 A. Ahmedhodzic,57,€190K
 C. Neal,63,€220K
 K. McDermott,50,€45K
 M. Casey,52,€90K
 Diego López,82,€5M
 M. Goicoechea,72,€2.1M
 K. Davies,55,€160K
 Matheus,78,€10M
 S. Noreña,50,€50K
 J. Attinella,67,€625K
 S. Sirigu,80,€9.5M
 R. M'Bolhi,67,€475K
 Yoel,77,€6M
 M. Hitz,79,€8.5M
 S. Guidotti,48,€50K
 D. Benaglio,77,€4.5M
 S. Lung,74,€4.7M
 K. Steppe,68,€725K
 T. Černý,66,€375K
 J. Husebø,51,€60K
 T. Howard,73,€275K
 J. Leutwiler,66,€450K
 A. Mirante,80,€7.5M
 G. Ochoa,77,€5.5M
 V. Vesiaho,52,€80K
 M. Whelan,46,€35K
 G. Sara,73,€2.7M
 B. van Leer,76,€7M
 J. Gillet,71,€160K
 R. Rey,75,€6M
 Y. Fujita,58,€40K
 Riesgo,73,€2M
 O. Nyland,73,€3.6M
 B. Sass-Davies,49,€60K
 E. Mulder,72,€2.5M
 S. Pesyakov,72,€2.5M
 Rubén,73,€2M
 N. Etheridge,71,€1.9M
 Palatsí,65,€425K
 R. Jarstein,83,€15M
 P. Gulácsi,79,€10M
 Marafona,76,€4.9M
 W. Yarbrough,68,€625K
 P. Sisniega,66,€675K
 Sergio,78,€6.5M
 A. Hansen,73,€3.2M
 A. Damen,65,€450K
 P. Salata,58,€190K
 P. Pentz,66,€675K
 F. Canales,66,€425K
 K. Nordfeldt,73,€3.3M
 D. Yurchenko,73,€2.4M
 Guilherme,78,€6.5M
 K. Lamprou,74,€4.6M
 B. Myhill,73,€1.6M
 Y. Koide,56,€110K
 C. Kennedy,51,€40K
 S. Graves,50,€50K
 M. Rahn,65,€500K
 S. Kritsyuk,79,€11M
 L. Walsh,48,€45K
 H. González,71,€1.9M
 E. Room,74,€4.5M
 K. Darlow,72,€2.7M
 K. Trapp,80,€12M
 José Sá,77,€9M
 Rubén Blanco,77,€9M
 S. Carson,73,€2.4M
 E. Bush,69,€650K
 S. Viera,72,€1.3M
 R. Mantores,73,€2.9M
 Mário Felgueiras,69,€675K
 W. Benítez,76,€7M
 E. Kawashima,74,€2.3M
 T. Acar,65,€325K
 Marcelinho Moraisco,67,€550K
 Z. Mohammed,49,€50K
 P. Čech,84,€7.5M
 M. Männel,71,€1.6M
 A. Consigli,82,€14M
 Z. Boucher,69,€925K
 R. Fährmann,83,€21M
 J. Rodríguez,69,€950K
 J. Moran,53,€90K
 M. Esser,74,€3.8M
 F. Armani,78,€6.5M
 Y. Nuxoll,53,€90K
 F. Öztürk,68,€575K
 Kim Dong Su,54,€80K
 Moyá,80,€7.5M
 R. Ruiter,69,€675K
 D. Bentley,72,€3.1M
 S. Kapino,74,€5.5M
 J. Storey,52,€100K
 R. Roache,48,€70K
 S. Fielding,51,€70K
 L. Michel,67,€50K
 S. Bossut,72,€1.9M
 M. Dmitrović,75,€6M
 T. O'Connor,49,€35K
 K. Politz,56,€120K
 M. Lampson,67,€625K
 L. Robles,73,€2M
 K. Kitamoto,56,€20K
 S. Russell,59,€60K
 R. Cierzniak,66,€250K
 B. Shuttleworth,69,€675K
 I. Arboleda,68,€1.1M
 L. Delgado,67,€100K
 J. Gertsen,51,€70K
 T. Käßemodel,46,€30K
 A. Lafont,77,€11.5M
 Casto,68,€210K
 C. Bonilla,70,€1.8M
 T. Kraft,76,€5.5M
 B. Jones,76,€1.8M
 Simão Donatinho,75,€3.4M
 A. Fulignati,68,€925K
 F. Agliardi,68,€375K
 S. Mpontshane,65,€325K
 F. Kelleher,54,€120K
 S. Rossbach,69,€1.5M
 S. Walukiewicz,52,€90K
 A. Malarz,70,€120K
 Artur Moraes,70,€240K
 A. Kawazura,50,€35K
 D. Jensen,74,€5M
 N. Logue,52,€60K
 Carlos Abad,68,€1.1M
 Z. Steffen,75,€8M
 B. de Jong,63,€350K
 M. Shevchenko,73,€4M
 K. Kotsaris,61,€350K
 E. Viviano,83,€15.5M
 A. Martín Arias,72,€3M
 L. Bailly,68,€550K
 M. Barbosa,77,€5M
 J. Brinkies,67,€750K
 Y. Lodygin,76,€6M
 R. Özcan,75,€3.4M
 F. Forster,76,€6M
 R. Zapata,69,€70K
 L. Alarcón,50,€50K
 Dani Hernández,74,€3.4M
 Wanderson,53,€80K
 R. Spiegel,62,€300K
 E. Jakupović,72,€1.8M
 A. Cisak,65,€425K
 B. Guzan,73,€2.3M
 Cássio,76,€1M
 R. Adler,79,€7M
 T. Hama,52,€60K
 N. Kern,51,€70K
 S. Dzhanaev,77,€5.5M
 S. Eastwood,66,€550K
 P. Kieszek,71,€1.2M
 M. Andújar,76,€3.9M
 F. Wiedwald,71,€1.8M
 Y. Thuram,67,€650K
 M. Rodrigues,53,€80K
 S. Sorrentino,80,€1M
 T. Kuszczak,71,€550K
 L. Castellanos,72,€1.6M
 U. Ceylan,68,€550K
 A. Bono,68,€900K
 M. Termanini,50,€60K
 J. Brady,52,€60K
 B. Drągowski,71,€3.1M
 A. Boruc,75,€450K
 B. Costil,80,€10M
 C. Puggioni,71,€325K
 Fepe Avedo,67,€525K
 C. Trueman,62,€375K
 C. Carrasso,79,€3M
 J. Foulston,50,€50K
 D. Rudd,71,€2.1M
 A. Paschalakis,73,€3.1M
 I. Abaev,71,€550K
 A. Walke,71,€950K
 Yoo Hyun,63,€210K
 I. Lawlor,63,€400K
 W. Dutoit,71,€1.9M
 C. MacGillivray,63,€375K
 J. Omlin,66,€700K
 R. Salin,73,€2.3M
 S. Bolat,71,€1.9M
 S. Kırıntılı,74,€3.2M
 M. Silvestri,69,€950K
 A. Noppert,64,€425K
 U. Çakır,64,€475K
 S. Gonda,68,€625K
 S. Marinović,68,€850K
 Fabiano,74,€3.8M
 K. Irumagawa,47,€50K
 D. Melo,69,€1.1M
 Y. Bounou,75,€6M
 B. Sylvestre,63,€350K
 C. Mathenia,74,€5M
 H. Al Khulaif,52,€70K
 A. Saldívar,69,€700K
 Raphaelito Anjos,77,€6M
 A. Jaakkola,64,€300K
 D. Forde,66,€45K
 E. Murphy,49,€50K
 E. Alvarado,67,€525K
 A. Moris,67,€650K
 P. Šteinbors,68,€550K
 D. Ospina,78,€7.5M
 Sergio Herrera,71,€2.4M
 E. Gorodov,72,€1.9M
 Y. Pelé,74,€2.3M
 David Raya,69,€1.3M
 G. Herrera,72,€3M
 D. Randolph,70,€1.1M
 R. Zieler,79,€10M
 H. Van Crombrugge,72,€3M
 M. Tørnes,63,€220K
 R. Boffin,70,€1.2M
 G. Alcalá,62,€300K
 I. Rodríguez,58,€130K
 F. Kaplan,69,€850K
 T. Kaminski,72,€2.8M
 J. Manley,47,€40K
 S. Sosa,76,€4.9M
 Fernando,66,€575K
 P. Leciejewski,70,€1M
 G. Morenda,76,€5.5M
 P. Tytoń,70,€1.1M
 T. Sippel,74,€3.8M
 Santamaría,67,€450K
 E. Unsain,70,€1.8M
 K. Hawley,48,€40K
 S. Rochet,69,€975K
 L. Pionnier,73,€950K
 Cifuentes,70,€120K
 A. Rossi,73,€5.5M
 K. Begois,67,€180K
 A. Kapp,55,€90K
 S. Johnson,70,€1.5M
 M. Salvi,69,€1.2M
 A. Iacobucci,67,€700K
 G. Morris,63,€190K
 S. Ryzhikov,76,€1M
 M. García,70,€1.2M
 I. Austbø,65,€300K
 L. Choutesiotis,66,€675K
 N. Bertrams,65,€550K
 A. Blake,75,€6M
 Raúl Lizoain,73,€3.3M
 J. Young,65,€325K
 Caro,68,€925K
 E. Dempsey,50,€35K
 S. Dimitrievski,71,€2.6M
 Kim Yong Dae,66,€45K
 A. Montero,69,€1.3M
 Carlos Travisso,63,€190K
 R. O'Donnell,64,€325K
 M. Bower,55,€120K
 A. Shunin,73,€2.6M
 N. Fernández,71,€160K
 B. Murphy,59,€90K
 J. Musso,73,€4.1M
 A. Vural,69,€875K
 Alfonso Herrero,67,€800K
 S. Torrico,75,€450K
 T. Brownsword,47,€60K
 Manu Herrera,70,€425K
 Q. Beunardeau,64,€425K
 Kim Jin Hyeon,69,€700K
 T. Didillon,71,€2.2M
 B. Białkowski,75,€4.5M
 K. McIntosh,55,€80K
 S. Sy,66,€700K
 J. Steele,67,€675K
 H. Fukushima,60,€190K
 Raúl Fernández,73,€3.1M
 M. Grün,68,€575K
 B. Peacock-Farrell,64,€600K
 M. Kryeziu,55,€120K
 A. Aguerre,69,€950K
 G. Lajud,71,€2.3M
 Bardají,66,€625K
 J. Dunn,49,€60K
 L. Skorupski,76,€6.5M
 José Suárez,67,€1M
 B. Williams,59,€60K
 R. Elliot,72,€1.9M
 M. Rensing,73,€2M
 D. Vukovic,71,€1.4M
 A. Werner,70,€2.4M
 L. Roberts,65,€625K
 R. Pasveer,72,€1.6M
 E. Galeković,65,€70K
 A. Al Owayshir,65,€425K
 V. Acerval,74,€3.8M
 Jaim Abra,73,€2.9M
 David Gil,60,€200K
 M. Díaz,78,€6.5M
 E. Andrada,73,€3.6M
 A. Bennett,62,€70K
 Pedro Trigueira,70,€1.2M
 Y. Ma-Kalambay,62,€180K
 B. Bellot,64,€325K
 R. Zentner,68,€1.1M
 T. Carson,68,€600K
 M. Stekelenburg,73,€1.6M
 M. Andersen,68,€725K
 F. De Paul,70,€1.5M
 A. Bass,57,€160K
 Y. Kurihara,54,€30K
 A. Belenov,77,€5.5M
 T. Kessler,71,€1.4M
 N. Sheron,46,€60K
 B. Hamer,68,€600K
 M. Gersbeck,69,€1.2M
 D. Léon,64,€400K
 D. Marshall,71,€1.4M
 D. Martin,66,€400K
 G. Lux,73,€950K
 A. Maisonnial,66,€975K
 A. Sinitsyn,74,€4.4M
 S. Bruzzese,67,€625K
 L. Badiashile,68,€950K
 S. Callamand,63,€210K
 J. Wildsmith,66,€850K
 N. Vikonis,74,€2.8M
 G. Woods,64,€375K
 F. Fielding,69,€700K
 Joel Robles,74,€4.4M
 T. Renault,67,€375K
 K. Stuhr-Ellegaard,72,€1.3M
 B. Reynet,78,€8.5M
 S. Minelli,68,€975K
 W. Sandilands,69,€525K
 M. Sourzac,63,€325K
 S. Supple,66,€425K
 L. Hrádecký,83,€17.5M
 C. Álvarez,72,€1.9M
 L. Sepe,74,€4.9M
 R. Zwinkels,70,€725K
 J. Willis,66,€550K
 I. Lanni,67,€600K
 M. Kolke,69,€950K
 C. Logan,64,€275K
 C. Kelly,48,€40K
 Gabri Prestão,76,€5.5M
 E. Bologna,70,€425K
 Nivo Serpinho,73,€2M
 Z. Karčemarskas,76,€3.1M
 Iraizoz,76,€1M
 C. Guerra,66,€625K
 Óscar Whalley,65,€525K
 E. Pettersen,66,€45K
 Pedro López,63,€450K
 E. Toal,52,€90K
 E. Birniçan,65,€375K
 A. Kann,66,€550K
 D. Novoa,66,€550K
 Javi Díaz,60,€250K
 S. Colombi,71,€2.1M
 D. Ward,70,€2M
 L. Kalinić,77,€7M
 A. Diallo,70,€1.6M
 I. Stefanović,68,€600K
 D. von Ballmoos,67,€950K
 A. Lie,63,€250K
 S. Cleveland,60,€210K
 A. Cragno,74,€7M
 A. Ajeti,54,€80K
 P. Bråtveit,69,€1.1M
 A. Rebrov,74,€2.8M
 T. Königsmann,61,€350K
 T. Strakosha,79,€15.5M
 F. Giefer,71,€1.8M
 Caio,68,€750K
 Mario Fernández,69,€825K
 M. Goblet,66,€625K
 D. Perez,51,€50K
 D. Ousted,71,€1.4M
 M. van der Hart,68,€925K
 O. Vlachodimos,73,€3.9M
 K. Sharahili,67,€525K
 S. Bywater,63,€50K
 A. Blanco,69,€700K
 S. Ujkani,72,€2.2M
 A. Berardi,63,€300K
 Lee Chang Geun,66,€650K
 J. Dahlin,71,€1.5M
